,Host 5,Host 6,Host 7,Host 8,Host 9,Host 10,Host 11,Host 12,g1-elephant,g1-mice,g2-elephant,g2-mice
36,19.3,10.4,5.13,4.97333333333333,16.9,11.4,5.76333333333333,5.71,29.7,10.1033333333333,28.3,11.4733333333333
37,19.1333333333333,10.4,5.12,4.97333333333333,16.7666666666667,11.3666666666667,5.75333333333333,5.71,29.5333333333333,10.0933333333333,28.1333333333334,11.4633333333333
38,18.9666666666667,10.4,5.11666666666667,4.97333333333333,16.8,11.4333333333333,5.74666666666667,5.7,29.3666666666667,10.09,28.2333333333333,11.4466666666667
39,19.2666666666667,10.4,5.10666666666667,4.96666666666667,16.9333333333333,11.4,5.73666666666667,5.69333333333333,29.6666666666667,10.0733333333333,28.3333333333333,11.43
40,19.6,10.4,5.10333333333333,4.96333333333333,16.9666666666667,11.4,5.73333333333333,5.7,30,10.0666666666667,28.3666666666667,11.4333333333333
41,19.4,10.4,5.09666666666667,4.97,16.9333333333333,11.4,5.72333333333333,5.69666666666667,29.8,10.0666666666667,28.3333333333333,11.42
42,18.9666666666667,10.4,5.09333333333333,4.97333333333333,16.9,11.4,5.71666666666667,5.69666666666667,29.3666666666667,10.0666666666667,28.3,11.4133333333333
43,19.2333333333333,10.4,5.09,4.96,16.8333333333333,11.4,5.71333333333333,5.69333333333333,29.6333333333333,10.05,28.2333333333333,11.4066666666667
44,19.2333333333333,10.4,5.08666666666667,4.95666666666667,16.8666666666667,11.3666666666667,5.71,5.67666666666667,29.6333333333333,10.0433333333333,28.2333333333334,11.3866666666667
45,19.6666666666667,10.4,5.08666666666667,4.96,17,11.4,5.70666666666667,5.68666666666667,30.0666666666667,10.0466666666667,28.4,11.3933333333333
46,19.4666666666667,10.4,5.08,4.96666666666667,16.8666666666667,11.4,5.69666666666667,5.67333333333333,29.8666666666667,10.0466666666667,28.2666666666667,11.37
47,19.7,10.4,5.08,4.97333333333333,17,11.4,5.7,5.68,30.1,10.0533333333333,28.4,11.38
48,19.9,10.4,5.08333333333333,4.97666666666667,17,11.4,5.69,5.66666666666667,30.3,10.06,28.4,11.3566666666667
49,19.2333333333333,10.4,5.08333333333333,4.98,16.9,11.3666666666667,5.69333333333333,5.68,29.6333333333333,10.0633333333333,28.2666666666667,11.3733333333333
50,19.8666666666667,10.4,5.08333333333333,4.98333333333333,17.0333333333333,11.3666666666667,5.69333333333333,5.68,30.2666666666667,10.0666666666667,28.4,11.3733333333333
51,19,10.4,5.09,4.99333333333333,16.9,11.3666666666667,5.69666666666667,5.68,29.4,10.0833333333333,28.2666666666667,11.3766666666667
52,20.0666666666667,10.4,5.08666666666667,4.97,17.1,11.4,5.68666666666667,5.67666666666667,30.4666666666667,10.0566666666667,28.5,11.3633333333333
53,19.9666666666667,10.4,5.08666666666667,4.99,17.0333333333333,11.4,5.68333333333333,5.68,30.3666666666667,10.0766666666667,28.4333333333333,11.3633333333333
54,20.0333333333333,10.4,5.08,5,17.0666666666667,11.3666666666667,5.68666666666667,5.68,30.4333333333333,10.08,28.4333333333334,11.3666666666667
55,20.0666666666667,10.4,5.09666666666667,5.01,17.0666666666667,11.4,5.69,5.68666666666667,30.4666666666667,10.1066666666667,28.4666666666667,11.3766666666667
56,20,10.4,5.09333333333333,5.01666666666667,17.0333333333333,11.4,5.68333333333333,5.68333333333333,30.4,10.11,28.4333333333333,11.3666666666667
57,19.6,10.4,5.10333333333333,5.02666666666667,16.9666666666667,11.4,5.68666666666667,5.68333333333333,30,10.13,28.3666666666667,11.37
58,19.8666666666667,10.4,5.1,5.01666666666667,17,11.4,5.68666666666667,5.67666666666667,30.2666666666667,10.1166666666667,28.4,11.3633333333333
59,19.6666666666667,10.4,5.1,5.02666666666667,16.9666666666667,11.3666666666667,5.68333333333333,5.68,30.0666666666667,10.1266666666667,28.3333333333334,11.3633333333333
60,20.0666666666667,10.4,5.1,5.02,17.0666666666667,11.4,5.68333333333333,5.67666666666667,30.4666666666667,10.12,28.4666666666667,11.36
